architecture,array_demand_ratio,site_facility_demand_ratio,scenario_id,physical_replacement_dr,physical_loss_2024_usd_per_kwdc,installed_capex_physical_loss_fraction
tracker,0.75,0.75,upper_resistance,0.011284399892299493,9.905397729202235,0.008844105115359139
tracker,0.8,0.8,central_screening,0.05282925955701295,46.373296998147815,0.041404729462631976
tracker,0.8,0.8,lower_resistance,0.1452240189818632,127.47701974211388,0.11381876762688739
tracker,0.8,0.8,upper_resistance,0.01703640090062346,14.95447949429474,0.013352213834191731
tracker,0.85,0.85,central_screening,0.07278194890576366,63.88768195905854,0.057042573177730836
tracker,0.85,0.85,lower_resistance,0.18865977256881772,165.60473756962634,0.1478613728300235
tracker,0.85,0.85,upper_resistance,0.02463930296005498,21.628274247547996,0.019310959149596425
tracker,0.9,0.9,central_screening,0.09700205227815535,85.1479846101235,0.07602498625903883
tracker,0.9,0.9,lower_resistance,0.23709301120815204,208.11922629873945,0.18582073776673166
tracker,0.9,0.9,upper_resistance,0.03436163826483695,30.16249839501444,0.02693080213840575
tracker,0.95,0.95,central_screening,0.1255125395930314,110.17436784738703,0.09836997129230984
tracker,0.95,0.95,lower_resistance,0.28931910669478417,253.96306846808739,0.22675273970364945
tracker,0.95,0.95,upper_resistance,0.04644750472865197,40.77142003628035,0.03640305360382174
tracker,1.0,1.0,central_screening,0.1581342432034389,138.80955908035142,0.12393710632174233
tracker,1.0,1.0,lower_resistance,0.34396892006000607,301.934439775001,0.26958432122767945
tracker,1.0,1.0,upper_resistance,0.06110218437438101,53.635234848802945,0.047888602543574056
tracker,1.05,1.05,central_screening,0.19449381363594084,170.72583374575433,0.15243378013013778
tracker,1.05,1.05,lower_resistance,0.39964391233679325,350.8057087246395,0.31321938278985667
tracker,1.05,1.05,upper_resistance,0.07847626784935147,68.88613065562224,0.061505473799662716
tracker,1.1,1.1,central_screening,0.23405165365060887,205.44953570537984,0.183437085451232
tracker,1.1,1.1,lower_resistance,0.4550311529577298,399.4243905074245,0.35662892009591474
tracker,1.1,1.1,upper_resistance,0.09865072535492345,86.59518275151157,0.07731712745670676
tracker,1.15,1.15,central_screening,0.27614429416303055,242.39827464828028,0.21642703093596452
tracker,1.15,1.15,lower_resistance,0.5089866043743101,446.78625387993634,0.398916298107086
tracker,1.15,1.15,upper_resistance,0.12162558256060864,106.76241366905798,0.09532358363308747
tracker,1.2,1.2,central_screening,0.3200340852050452,280.92454460255624,0.25082548625228235
tracker,1.2,1.2,lower_resistance,0.560583794550418,492.078045670513,0.4393553979201009
tracker,1.2,1.2,upper_resistance,0.1473142473151791,129.31181319005523,0.11545697606254932
tracker,1.25,1.25,central_screening,0.3649592670436619,320.3596761483553,0.28603542513246005
tracker,1.25,1.25,lower_resistance,0.6091312718414506,534.6928125971306,0.4774042969617237
tracker,1.25,1.25,upper_resistance,0.17554445669276442,154.09216965849788,0.13758229433794453
tracker,1.3,1.3,central_screening,0.4101788907861684,360.0532675319843,0.321476131724986
tracker,1.3,1.3,lower_resistance,0.6541656731324984,574.2238165088881,0.5126998361686501
tracker,1.3,1.3,upper_resistance,0.20606566773975246,180.88355754644795,0.1615031763807571
tracker,1.35,1.35,central_screening,0.455009008316517,399.40495203653757,0.3566115643183371
tracker,1.35,1.35,lower_resistance,0.6954282803906089,610.4439558283361,0.5450392462753001
tracker,1.35,1.35,upper_resistance,0.23856178750424248,209.4085118191798,0.1869718855528391
tracker,1.4,1.4,central_screening,0.49884850296855193,437.88707203584494,0.3909706000320044
tracker,1.4,1.4,lower_resistance,0.7328323736417144,643.277108134929,0.574354560834758
tracker,1.4,1.4,upper_resistance,0.27266757042338297,239.34642149131537,0.2137021620458173
tracker,1.45,1.45,central_screening,0.5411945434853667,475.05824441358027,0.4241591467978395
tracker,1.45,1.45,lower_resistance,0.766427273004922,672.7665664172589,0.6006844343011241
tracker,1.45,1.45,upper_resistance,0.3079868185080629,270.34950567072826,0.24138348720600739
tracker,1.5,1.5,central_screening,0.5816487686180737,510.5687893774823,0.4558649905156092
tracker,1.5,1.5,lower_resistance,0.7963632825429554,699.0442669356324,0.6241466669068146
tracker,1.5,1.5,upper_resistance,0.3441106342567026,302.058835887825,0.269695389185558
tracker,1.55,1.55,central_screening,0.6199159459723547,544.15955320062,0.48585674392912503
tracker,1.55,1.55,lower_resistance,0.8228601730446077,722.303123543957,0.6449135031642473
tracker,1.55,1.55,upper_resistance,0.38063429395548365,334.11914740597155,0.2983206673267603
tracker,1.6,1.6,central_screening,0.6557970774739471,575.6558562286276,0.5139784430612746
tracker,1.6,1.6,lower_resistance,0.8461805542744407,742.7736539649634,0.6631907624687173
tracker,1.6,1.6,upper_resistance,0.41717172484000387,366.19154721177637,0.3269567385819432
tracker,1.65,1.65,central_screening,0.6891788591300089,604.9582407035275,0.5401412863424353
tracker,1.65,1.65,lower_resistance,0.8666085448368945,760.7052562885905,0.6792011216862415
tracker,1.65,1.65,upper_resistance,0.4533669975376689,397.9636020316315,0.3553246446710996
tracker,1.7,1.7,central_screening,0.7200211578417322,632.0314779636639,0.5643138196104142
tracker,1.7,1.7,lower_resistance,0.88443352759828,776.3519495512232,0.6931713835278779
